Ronda,Fecha,Local,Resultado,Visitante,Anio
Round 1,8/9/1979,Betis,1—2,Rayo Vallecano,1979-1980
Round 1,8/9/1979,Español,5—2,AD Almería,1979-1980
Round 1,8/9/1979,Sporting de Gijón,2—1,Sevilla,1979-1980
Round 1,8/9/1979,Real Sociedad,1—0,Las Palmas,1979-1980
Round 1,9/9/1979,Burgos,1—0,CD Málaga,1979-1980
Round 1,9/9/1979,Hércules,2—3,Atlético de Madrid,1979-1980
Round 1,9/9/1979,Real Madrid,3—1,Valencia,1979-1980
Round 1,9/9/1979,Salamanca,2—1,Athletic Club,1979-1980
Round 1,9/9/1979,Zaragoza,2—2,Barcelona,1979-1980
Round 2,15/09/1979,Athletic Club,0—1,Real Sociedad,1979-1980
Round 2,15/09/1979,Atlético de Madrid,1—3,Sporting de Gijón,1979-1980
Round 2,15/09/1979,Barcelona,5—0,Betis,1979-1980
Round 2,15/09/1979,Las Palmas,2—1,Hércules,1979-1980
Round 2,15/09/1979,CD Málaga,1—2,Español,1979-1980
Round 2,15/09/1979,Valencia,2—2,Salamanca,1979-1980
Round 2,16/09/1979,AD Almería,1—0,Zaragoza,1979-1980
Round 2,16/09/1979,Rayo Vallecano,1—2,Real Madrid,1979-1980
Round 2,16/09/1979,Sevilla,6—1,Burgos,1979-1980
Round 3,22/09/1979,Español,2—0,Zaragoza,1979-1980
Round 3,23/09/1979,Betis,0—0,AD Almería,1979-1980
Round 3,23/09/1979,Burgos,1—1,Atlético de Madrid,1979-1980
Round 3,23/09/1979,Sporting de Gijón,4—1,Las Palmas,1979-1980
Round 3,23/09/1979,Hércules,2—1,Athletic Club,1979-1980
Round 3,23/09/1979,CD Málaga,2—1,Sevilla,1979-1980
Round 3,23/09/1979,Real Sociedad,0—0,Valencia,1979-1980
Round 3,23/09/1979,Real Madrid,3—2,Barcelona,1979-1980
Round 3,23/09/1979,Salamanca,3—0,Rayo Vallecano,1979-1980
Round 4,29/09/1979,Atlético de Madrid,0—0,CD Málaga,1979-1980
Round 4,29/09/1979,Las Palmas,2—1,Burgos,1979-1980
Round 4,29/09/1979,Valencia,0—0,Hércules,1979-1980
Round 4,30/09/1979,AD Almería,1—1,Real Madrid,1979-1980
Round 4,30/09/1979,Athletic Club,2—3,Sporting de Gijón,1979-1980
Round 4,30/09/1979,Barcelona,0—0,Salamanca,1979-1980
Round 4,30/09/1979,Rayo Vallecano,1—1,Real Sociedad,1979-1980
Round 4,30/09/1979,Sevilla,2—1,Español,1979-1980
Round 4,30/09/1979,Zaragoza,5—1,Betis,1979-1980
Round 5,14/10/1979,Burgos,1—1,Athletic Club,1979-1980
Round 5,14/10/1979,Español,0—0,Betis,1979-1980
Round 5,14/10/1979,Sporting de Gijón,4—2,Valencia,1979-1980
Round 5,14/10/1979,Hércules,2—2,Rayo Vallecano,1979-1980
Round 5,14/10/1979,CD Málaga,1—0,Las Palmas,1979-1980
Round 5,14/10/1979,Real Sociedad,4—3,Barcelona,1979-1980
Round 5,14/10/1979,Real Madrid,3—2,Zaragoza,1979-1980
Round 5,14/10/1979,Salamanca,2—1,AD Almería,1979-1980
Round 5,14/10/1979,Sevilla,2—2,Atlético de Madrid,1979-1980
Round 6,20/10/1979,Barcelona,2—0,Hércules,1979-1980
Round 6,20/10/1979,Las Palmas,2—0,Sevilla,1979-1980
Round 6,20/10/1979,Valencia,3—1,Burgos,1979-1980
Round 6,21/10/1979,AD Almería,0—0,Real Sociedad,1979-1980
